ticket_id,ticket_text,Servicio,Categoria,Subcategoria
TKT-0001,Necesito ayuda con la optimización de recursos de mis instancias para reducir costos.,Cloud Infrastructure,Instancias,Optimización de recursos
TKT-0002,El uso de CPU está mal optimizado y requiero asesoría de optimización de recursos.,Cloud Infrastructure,Instancias,Optimización de recursos
TKT-0003,¿Cómo puedo mejorar la eficiencia y optimización de recursos de mis servidores?,Cloud Infrastructure,Instancias,Optimización de recursos
TKT-0004,Recomendaciones para la optimización de recursos en instancias de alta carga.,Cloud Infrastructure,Instancias,Optimización de recursos
TKT-0005,"Estamos experimentando desperdicio de memoria, requerimos optimización de recursos.",Cloud Infrastructure,Instancias,Optimización de recursos
TKT-0006,¿Qué opciones de compresión de datos hay disponibles para el almacenamiento?,Cloud Infrastructure,Almacenamiento,Compresión de datos
TKT-0007,La compresión de datos está tardando demasiado y eleva el uso de CPU.,Cloud Infrastructure,Almacenamiento,Compresión de datos
TKT-0008,Activar la compresión de datos para reducir el espacio ocupado en el disco.,Cloud Infrastructure,Almacenamiento,Compresión de datos
TKT-0009,Error al descomprimir un archivo con la herramienta de compresión de datos.,Cloud Infrastructure,Almacenamiento,Compresión de datos
TKT-0010,Soporte para algoritmos avanzados de compresión de datos en volúmenes block.,Cloud Infrastructure,Almacenamiento,Compresión de datos
TKT-0011,Problemas con la configuración de DNS regional para resolver subdominios.,Cloud Infrastructure,Redes,Configuración de DNS regional
TKT-0012,¿Cómo apunto mi dominio usando la configuración de DNS regional?,Cloud Infrastructure,Redes,Configuración de DNS regional
TKT-0013,Latencia alta debido a una mala configuración de DNS regional.,Cloud Infrastructure,Redes,Configuración de DNS regional
TKT-0014,Actualización de registros NS en la configuración de DNS regional.,Cloud Infrastructure,Redes,Configuración de DNS regional
TKT-0015,El TTL no se está aplicando correctamente en la configuración de DNS regional.,Cloud Infrastructure,Redes,Configuración de DNS regional
TKT-0016,¿Cómo puedo ver y cerrar las sesiones activas de un usuario desde el panel?,API Management,Autenticación,Sesiones activas
TKT-0017,El límite de sesiones activas simultáneas no está funcionando.,API Management,Autenticación,Sesiones activas
TKT-0018,Error al consultar el historial de sesiones activas de la cuenta.,API Management,Autenticación,Sesiones activas
TKT-0019,Forzar el cierre de todas las sesiones activas por motivos de seguridad.,API Management,Autenticación,Sesiones activas
TKT-0020,Las sesiones activas no expiran después del tiempo de inactividad configurado.,API Management,Autenticación,Sesiones activas
TKT-0021,¿Cómo se aplican las políticas globales de rate limiting en la organización?,API Management,Rate Limiting,Políticas globales
TKT-0022,Las políticas globales están bloqueando tráfico legítimo de nuestros clientes.,API Management,Rate Limiting,Políticas globales
TKT-0023,Modificar las políticas globales para permitir más peticiones por minuto.,API Management,Rate Limiting,Políticas globales
TKT-0024,Error en la sincronización de políticas globales entre clusters.,API Management,Rate Limiting,Políticas globales
TKT-0025,Documentación sobre cómo heredar las políticas globales en microservicios.,API Management,Rate Limiting,Políticas globales
TKT-0026,Falla en la validación de la firma para la autenticación de Webhook.,API Management,Integración,Autenticación de Webhook
TKT-0027,¿Cómo configuro la clave secreta para la autenticación de Webhook?,API Management,Integración,Autenticación de Webhook
TKT-0028,Error 401 durante la autenticación de Webhook entrante.,API Management,Integración,Autenticación de Webhook
TKT-0029,La documentación sobre la autenticación de Webhook no tiene ejemplos en Python.,API Management,Integración,Autenticación de Webhook
TKT-0030,Cambiar el certificado utilizado en la autenticación de Webhook corporativo.,API Management,Integración,Autenticación de Webhook
TKT-0031,No puedo descargar el historial de facturas del año pasado.,Billing & Account,Facturación,Historial de facturas
TKT-0032,El historial de facturas muestra un saldo pendiente que ya fue pagado.,Billing & Account,Facturación,Historial de facturas
TKT-0033,Exportar el historial de facturas en formato PDF y CSV.,Billing & Account,Facturación,Historial de facturas
TKT-0034,Error al cargar la página del historial de facturas en el portal de cliente.,Billing & Account,Facturación,Historial de facturas
TKT-0035,Faltan algunas facturas en mi historial de facturas del mes anterior.,Billing & Account,Facturación,Historial de facturas
TKT-0036,¿Qué características están limitadas durante el periodo de prueba?,Billing & Account,Suscripción,Periodo de prueba
TKT-0037,Mi periodo de prueba terminó antes de los 30 días prometidos.,Billing & Account,Suscripción,Periodo de prueba
TKT-0038,¿Cómo cancelo la cuenta antes de que finalice el periodo de prueba?,Billing & Account,Suscripción,Periodo de prueba
TKT-0039,Extender el periodo de prueba para terminar de evaluar la plataforma.,Billing & Account,Suscripción,Periodo de prueba
TKT-0040,Error al intentar activar el periodo de prueba con mi tarjeta corporativa.,Billing & Account,Suscripción,Periodo de prueba
TKT-0041,Mi cuenta sufrió un bloqueo preventivo por actividad sospechosa.,Billing & Account,Acceso,Bloqueo preventivo
TKT-0042,¿Cómo levanto el bloqueo preventivo de la cuenta de un colaborador?,Billing & Account,Acceso,Bloqueo preventivo
TKT-0043,El sistema aplicó un bloqueo preventivo erróneo al intentar ingresar desde mi celular.,Billing & Account,Acceso,Bloqueo preventivo
TKT-0044,Notificación de seguridad sobre bloqueo preventivo de accesos raíz.,Billing & Account,Acceso,Bloqueo preventivo
TKT-0045,Procedimiento de verificación de identidad tras un bloqueo preventivo.,Billing & Account,Acceso,Bloqueo preventivo
TKT-0046,Configurar la política de rotación de logs para que sea diaria.,Performance & Monitoring,Logs,Rotación de logs
TKT-0047,La rotación de logs está fallando y llenando el espacio en disco.,Performance & Monitoring,Logs,Rotación de logs
TKT-0048,¿Dónde se guardan los archivos comprimidos tras la rotación de logs?,Performance & Monitoring,Logs,Rotación de logs
TKT-0049,Error en los permisos al ejecutar el script de rotación de logs.,Performance & Monitoring,Logs,Rotación de logs
TKT-0050,La rotación de logs borró datos históricos que aún necesitábamos.,Performance & Monitoring,Logs,Rotación de logs
TKT-0051,El gráfico de uso de red muestra picos anómalos de tráfico entrante.,Performance & Monitoring,Métricas,Uso de red
TKT-0052,Configurar alertas para cuando el uso de red supere los 500 Mbps.,Performance & Monitoring,Métricas,Uso de red
TKT-0053,No puedo visualizar las métricas de uso de red de las últimas 24 horas.,Performance & Monitoring,Métricas,Uso de red
TKT-0054,La API de métricas devuelve valores nulos para el uso de red saliente.,Performance & Monitoring,Métricas,Uso de red
TKT-0055,Diferencia entre el uso de red reportado por el sistema y el router.,Performance & Monitoring,Métricas,Uso de red
TKT-0056,Estamos recibiendo demasiados falsos positivos en las alertas de CPU.,Performance & Monitoring,Alertas,Falsos positivos
TKT-0057,¿Cómo tunear los umbrales para evitar falsos positivos en producción?,Performance & Monitoring,Alertas,Falsos positivos
TKT-0058,Análisis de falsos positivos en las alertas de caída de servicio.,Performance & Monitoring,Alertas,Falsos positivos
TKT-0059,Las alertas por picos de latencia resultaron ser falsos positivos de red.,Performance & Monitoring,Alertas,Falsos positivos
TKT-0060,Desactivar temporalmente una alerta propensa a generar falsos positivos.,Performance & Monitoring,Alertas,Falsos positivos
TKT-0061,Nuestra aplicación web está devolviendo Error 404 en rutas estáticas.,Soporte Técnico,Errores,Error 404
TKT-0062,¿Cómo configuro una página personalizada para el Error 404 Not Found?,Soporte Técnico,Errores,Error 404
TKT-0063,Muchos usuarios reportan Error 404 al intentar acceder a la documentación.,Soporte Técnico,Errores,Error 404
TKT-0064,El balanceador redirige mal y provoca Error 404 generalizado.,Soporte Técnico,Errores,Error 404
TKT-0065,Monitorear la tasa de Error 404 para detectar enlaces rotos.,Soporte Técnico,Errores,Error 404
TKT-0066,Problemas con la instalación en Docker de la imagen oficial del SDK.,Soporte Técnico,Instalación,Instalación en Docker
TKT-0067,La instalación en Docker falla al compilar dependencias nativas.,Soporte Técnico,Instalación,Instalación en Docker
TKT-0068,Guía paso a paso para realizar la instalación en Docker en entornos ARM64.,Soporte Técnico,Instalación,Instalación en Docker
TKT-0069,Error de permisos de volumen durante la instalación en Docker.,Soporte Técnico,Instalación,Instalación en Docker
TKT-0070,¿Cómo optimizar el tamaño de la imagen tras la instalación en Docker?,Soporte Técnico,Instalación,Instalación en Docker
TKT-0071,La optimización de índices de la base de datos está bloqueando las tablas.,Soporte Técnico,Mantenimiento,Optimización de índices
